pair,trt,temp,clip,color,genotype,tank,start.len,start.rhiz.diam,start.rhiz.len,no.shoots.pre.heat,no.shoots.post.heat,length1.T1,length2.T1,length3.T1,length4.T1,lengthtot.T1,days.T1,growth.rate.T1,no.shoots.preC1,no.shoots.postC1,dead.T1,dead.TR,dead.preC,dead.postC,status.bd,no.shoots.bd,width.bd,date.measured.bd,days.bd,length1.bd,length2.bd,length3.bd,length4.bd,length5.bd,length6.bd,length7.bd,lengthtot.bd,growthrate.bd,grazing,laby,ss.np,dessicated,flowering,gen.id,old,new,rhiz,roots,rhizbrokeT1,rhizbroke.TR,squashed,SS.lost,replicate,notes,,
1,A,cold,none,R,orange,1,48,4,5.3,2,3,10.6,32,12.7,0,55.3,12,4.608333333,NA,NA,0,0,0,0,measured,7,0.7,3-May,17,0.7,7.7,26,24.5,18,0,0,76.9,4.523529412,0,0,0,0,0,263,0.55,0.472,0.601,0.423,0,0,0,0,3,,,
1,A,cold,none,B,WPS20,1,84,4,6,3,3,23.4,19.1,0,0,42.5,12,3.541666667,5,6,0,0,0,0,measured,5,0.8,3-May,17,15,10.5,24,21.2,0,0,0,70.7,4.158823529,1,0,2,0,0,262,0.194,0.202,0.283,0.11,0,0,0,0,3,,,
1,B,hot,none,R,orange,2,106.5,4.5,4.7,2,3,2.5,4.5,0,0,7,12,0.583333333,NA,NA,0,0,0,0,measured,1,0.5,29-Apr,13,7.5,11.2,5.1,0,0,0,0,23.8,1.830769231,1,0,0,0,0,140,0.082,0.032,0.028,0.017,0,0,0,0,3,,,
1,B,hot,none,B,WPS20,2,65,4,5.1,2,2,15.4,12.5,0,0,27.9,12,2.325,3,2,0,0,0,0,measured,4,0.7,29-Apr,13,16.8,14.4,19.1,5.3,4.4,0,0,60,4.615384615,0,1,1,1,0,141,0.232,0.15,0.133,0.074,0,0,0,0,3,,,
1,C,cold,clip,R,orange,1,108,4,5,1,2,28.9,24.2,0,0,53.1,12,4.425,NA,NA,0,0,0,0,measured,4,0.7,30-Apr,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,189,0.296,0.21,0.318,0.178,0,1,0,0,3,"at breakdown, forgot to measure leaf extension before putting the biomass in new growth",,
1,C,cold,clip,B,WPS20,1,59,4,6,2,3,12.7,22.5,0.5,0,35.7,12,2.975,6,8,0,0,0,0,measured,4,0.6,30-Apr,14,8.5,14,12.7,0,0,0,0,35.2,2.514285714,0,0,0,1,0,186,0.16,0.106,0.236,0.098,0,0,0,0,3,,,
1,D,hot,clip,R,orange,2,102,4.5,4.7,1,3,12.1,17.8,0,0,29.9,12,2.491666667,3,2,0,0,0,0,measured,4,0.3,27-Apr,11,5.8,1.2,0,0,0,0,0,7,0.636363636,0,0,0,0,0,85,0.031,0.007,0.202,0.128,1,0,0,1,0,,,
1,D,hot,clip,B,WPS20,2,34.5,4,NA,2,0,0,0,0,0,0,12,0,0,0,1,1,1,1,dead,0,0,27-Apr,11,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,pulled up side shoot on either B or R during 2nd clip,,
2,A,cold,none,R,DPH06,1,64,3,3.6,2,2,23.4,32,30,9,94.4,12,7.866666667,NA,NA,0,0,0,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,
2,A,cold,none,B,WPH03,1,42,2.5,4.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,
2,B,hot,none,R,DPH06,2,69,3,4.8,1,2,9.5,2,0,0,11.5,12,0.958333333,1,3,0,0,0,0,measured,9,0.5,30-Apr,14,12,11.5,5,2.8,12.5,0,0,43.8,3.128571429,1,0,0,1,0,214,0.337,0.206,0.39,0.684,0,1,0,0,1,,,
2,B,hot,none,B,WPH03,2,70,4,4,3,3,9.5,17,0,0,26.5,12,2.208333333,0,0,0,0,1,1,dead,0,0,30-Apr,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,1,,,
2,C,cold,clip,R,DPH06,1,61,3,4.5,2,2,34,26.5,0,0,60.5,12,5.041666667,NA,NA,0,0,0,0,measured,15,0.8,3-May,18,25,4.9,8.2,34.3,14,29.1,0,115.5,6.416666667,1,1,0,0,0,246,1.505,1.01,0.811,0.482,0,1,0,1,1,SS BROKE OFF AND DISCARDED,,
2,C,cold,clip,B,WPH03,1,78,4.5,6,1,NA,NA,NA,NA,NA,NA,12,NA,10,14,0,0,0,0,measured,1,NA,3-May,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,247,NA,NA,0.161,NA,0,0,0,0,1,"no punch post heat; flowering at breakdown so no growth, old, new, a rhizome measure, but no roots",,
2,D,hot,clip,R,DPH06,2,60,3,6,2,0,0,0,0,0,0,12,0,NA,NA,1,1,1,1,dead,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,,,
2,D,hot,clip,B,WPH03,2,59,3.5,6,1,3,32.5,14.5,5.5,0,52.5,12,4.375,0,0,0,0,1,1,dead,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,,,
3,A,cold,none,B,DPL18,1,56,4,6,1,1,28.8,2.6,4.1,0,35.5,12,2.958333333,3,3,0,0,0,0,measured,6,0.8,23-Apr,7,8.5,10.7,16.5,15.5,0,0,0,51.2,7.314285714,1,0,0,0,0,40,1.195,0.38,0.486,0.37,0,0,0,0,1,,,
3,A,cold,none,R,JET06,1,52,4,6,1,0,0,0,0,0,0,12,0,0,0,1,1,1,1,dead,0,0,23-Apr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
3,B,hot,none,B,DPL18,2,61,3.5,4,3,2,3.9,6.5,0,0,10.4,12,0.866666667,NA,NA,0,0,0,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,,,
3,B,hot,none,R,JET06,2,50,4.5,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,,,
3,C,cold,clip,B,DPL18,1,55.5,3,3,1,3,11,29.5,22.7,0.5,63.7,12,5.308333333,5,4,0,0,0,0,measured,4,0.6,24-Apr,8,5.4,5.7,2.9,0,0,0,0,14,1.75,0,0,0,1,0,44,0.225,0.033,0.395,0.337,0,0,0,0,1,,,
3,C,cold,clip,R,JET06,1,62,4.5,6,3,2,11.5,15.5,0,0,27,12,2.25,NA,NA,0,0,0,1,dead,0,0,24-Apr,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,,,
3,D,hot,clip,B,DPL18,2,55,4,2.5,2,3,28.9,8.7,6.9,0,44.5,12,3.708333333,NA,NA,0,0,0,NA,metab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,,,
